name,date,r,g,b,uri
Pants,2022-10-16 03:48:08,245,243,41,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311887065_486808520131894_1694997428490557273_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OCzLuRLzNmUAX8Qjunj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDAzOTExMTY3MjAzMDk2Mw%3D%3D.2-ccb7-5&oh=00_AT_PtYJuASgkftMUr7W-OGsPpP6bMIjsoQl-uNnsHr1Hlg&oe=63552E9B&_nc_sid=30a2ef
Pants,2022-10-16 03:48:08,236,239,247,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311887065_486808520131894_1694997428490557273_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OCzLuRLzNmUAX8Qjunj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDAzOTExMTY3MjAzMDk2Mw%3D%3D.2-ccb7-5&oh=00_AT_PtYJuASgkftMUr7W-OGsPpP6bMIjsoQl-uNnsHr1Hlg&oe=63552E9B&_nc_sid=30a2ef
Pants,2022-10-16 03:48:08,42,44,65,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311887065_486808520131894_1694997428490557273_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OCzLuRLzNmUAX8Qjunj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDAzOTExMTY3MjAzMDk2Mw%3D%3D.2-ccb7-5&oh=00_AT_PtYJuASgkftMUr7W-OGsPpP6bMIjsoQl-uNnsHr1Hlg&oe=63552E9B&_nc_sid=30a2ef
Hat,2022-10-16 03:48:08,228,48,62,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311887065_486808520131894_1694997428490557273_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OCzLuRLzNmUAX8Qjunj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDAzOTExMTY3MjAzMDk2Mw%3D%3D.2-ccb7-5&oh=00_AT_PtYJuASgkftMUr7W-OGsPpP6bMIjsoQl-uNnsHr1Hlg&oe=63552E9B&_nc_sid=30a2ef
Shorts,2022-10-16 02:37:34,178,142,131,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311643590_1804230329929363_6309328438646821394_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=sQc4PvRbNa0AX-hOAC_&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MDAwMzU5NzI1MDEzNDQwNA%3D%3D.2-ccb7-5&oh=00_AT9Uz7gZ_iTC0V49M2a4eGm3aI87nQ1pRaR1eqlnQlvYQQ&oe=63553561&_nc_sid=30a2ef
Pants,2022-10-16 02:09:23,59,52,57,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311663341_6096499353697065_4033575473371094549_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=wXI0wjRX3XsAX_Xqvhd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_Le30a4LYjTF_Sei0zSz_6vKiy6bZwtbUZXXVvCL8Jag&oe=63507880&_nc_sid=8fd12b
Pants,2022-10-16 02:09:23,19,23,42,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/311663341_6096499353697065_4033575473371094549_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=wXI0wjRX3XsAX_Xqvhd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AT_Le30a4LYjTF_Sei0zSz_6vKiy6bZwtbUZXXVvCL8Jag&oe=63507880&_nc_sid=8fd12b
Hat,2022-09-25 11:01:41,4,20,245,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/308417186_172677662010028_411458097628558982_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=2zJGHim9DDoAX_5d-Ne&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzNTAzNzAzNzkzMzQzMzg1Ng%3D%3D.2-ccb7-5&oh=00_AT95LgWGjmYBfhR8N2qz-ejqTNu2U-iDHXA241adkDvwew&oe=6354949E&_nc_sid=30a2ef
Hat,2022-09-25 11:01:06,27,26,27,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/308712004_914697576171337_4792096170261563276_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Qpc-FBhLnuoAX80ayCI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzNTAzNjczODQwOTgzODIwOQ%3D%3D.2-ccb7-5&oh=00_AT8s5_5_y-JFLRGKo17Ey5fRIojIvH5IkbYkbiufpGhAwQ&oe=6354960F&_nc_sid=30a2ef
Hat,2022-09-15 14:33:34,80,29,15,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/306974942_430762179039267_3683980433460904685_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=epjzwb80_iwAX98rjds&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkyNzg5NTkyMDIwNDkxMjYyNA%3D%3D.2-ccb7-5&oh=00_AT_a0C9tOb5kPfR7hGeEUt-UVdm74v-xsMuJGQoWMzkXfQ&oe=63556691&_nc_sid=30a2ef
